source,target,weight,avg_streams,country_code,year
dance pop,pop,271,5425612.285714285,au,2017
pop,pop rap,231,4705274.7155172415,au,2017
pop,rap,223,3383558.264957265,au,2017
pop,pop,215,5601261.456790123,au,2017
hip hop,pop,214,3782008.694214876,au,2017
pop rap,rap,199,2965441.185185185,au,2017
hip hop,rap,197,3267594.753246753,au,2017
hip hop,pop rap,182,3171269.3194444445,au,2017
dance pop,pop rap,154,4829743.044943822,au,2017
pop,tropical house,147,6298477.590909091,au,2017
electro,pop,145,5703188.653061224,au,2017
pop,trap,144,4030743.621621622,au,2017
pop rap,trap,136,3657128.3035714286,au,2017
rap,trap,133,3914618.907407407,au,2017
dance pop,rap,130,3965385.371794872,au,2017
dance pop,hip hop,128,3924725.592592593,au,2017
hip hop,trap,127,3221080.527272728,au,2017
rap,rap,108,3226250.215384616,au,2017
dance pop,tropical house,107,6308137.621212121,au,2017
pop rap,pop rap,97,3448959.185185185,au,2017
electropop,pop,96,6391245.05882353,au,2017
hip hop,hip hop,92,2458766.0535714286,au,2017
dance pop,electro,90,6295878.015873016,au,2017
dance pop,dance pop,90,6332625.5606060615,au,2017
dance pop,trap,88,4771615.703703703,au,2017
r&b,rap,68,3179356.695652174,au,2017
electro house,pop,66,5375808.392156864,au,2017
hip hop,r&b,63,3404963.930232558,au,2017
house,pop,61,4864928.479166667,au,2017
pop,r&b,57,4882580.12195122,au,2017
pop rap,r&b,55,4064219.0285714287,au,2017
electro,tropical house,55,5598681.205882353,au,2017
dance,pop,54,5231223.076923077,au,2017
dance pop,electropop,50,7167477.475,au,2017
trap,trap,48,3683310.5714285714,au,2017
pop rap,tropical house,47,5145264.878787879,au,2017
rap,urban contemporary,46,3300627.4827586208,au,2017
electro,pop rap,45,5630002.03125,au,2017
dance pop,electro house,45,6051206.416666668,au,2017
hip hop,urban contemporary,45,3744367.6129032257,au,2017
pop rap,urban contemporary,43,4219060.88,au,2017
electro,electropop,43,6602273.59375,au,2017
r&b,trap,41,3265418.227272727,au,2017
electropop,tropical house,41,6512112.419354837,au,2017
dance,dance pop,40,5033592.6,au,2017
dance pop,house,39,4503784.419354838,au,2017
dance pop,r&b,39,5115005.333333333,au,2017
pop,urban contemporary,39,4657460.851851852,au,2017
electro,hip hop,39,3957587.875,au,2017
tropical house,tropical house,35,5443908.931034483,au,2017
hip hop,tropical house,33,4548565.615384615,au,2017
electro,rap,33,5046606.916666667,au,2017
rap,tropical house,32,5048197.318181818,au,2017
house,pop rap,31,3490847.478260869,au,2017
electro house,pop rap,30,4045624.2380952383,au,2017
other,pop,28,3618312.1,au,2017
electropop,pop rap,28,4154941.5,au,2017
indie pop,pop,28,4631707.25,au,2017
trap,tropical house,28,5356567.3809523815,au,2017
dance pop,urban contemporary,27,5118768.611111111,au,2017
hip hop,soul,26,3326094.523809524,au,2017
dance,pop rap,26,4544542.444444444,au,2017
electropop,rap,26,3305844.666666666,au,2017
trap,urban contemporary,26,5500027.2,au,2017
electro,electro,25,5010199.882352942,au,2017
electro house,rap,25,4478556.944444444,au,2017
electro,trap,25,5489827.8,au,2017
rap,soul,24,2906999.05,au,2017
hip hop,house,24,3058105.0,au,2017
electro house,hip hop,24,4065046.9,au,2017
house,rap,22,3564493.25,au,2017
dance,hip hop,21,3281600.705882353,au,2017
dance,rap,21,3572142.8666666667,au,2017
house,tropical house,20,3464986.5625,au,2017
electropop,hip hop,20,2679076.166666666,au,2017
electro house,trap,20,4997391.125,au,2017
electropop,electropop,19,5149712.176470588,au,2017
soul,trap,18,3567448.9285714286,au,2017
electro,r&b,18,6823312.705882353,au,2017
electro,house,18,3230106.8,au,2017
pop rap,soul,17,4869477.285714285,au,2017
electro house,tropical house,17,5457554.153846154,au,2017
indie pop,tropical house,17,5436903.6,au,2017
house,trap,17,4225626.461538462,au,2017
electro,electro house,17,6891002.181818183,au,2017
dance,tropical house,16,5261508.6,au,2017
pop,soul,16,3844725.642857143,au,2017
hip hop,indie,15,3853772.642857143,au,2017
dance,trap,15,4652043.090909091,au,2017
r&b,tropical house,14,5669915.5,au,2017
house,r&b,14,5917354.785714285,au,2017
electro,other,14,3707225.75,au,2017
indie,pop,14,3853147.5,au,2017
other,rap,13,2127495.3,au,2017
dance pop,indie pop,13,4124563.8181818174,au,2017
electropop,indie pop,13,5852375.75,au,2017
electro house,electropop,12,6376861.181818183,au,2017
hip hop,other,12,2524539.1,au,2017
pop rap,rock,12,5633804.4,au,2017
rap,rock,12,955654.0,au,2017
hip hop,rock,12,797020.8,au,2017
electropop,house,12,4744023.583333333,au,2017
dance,r&b,11,4600154.636363637,au,2017
other,tropical house,11,3285860.8,au,2017
electro,indie pop,11,6679342.222222223,au,2017
latin,pop,11,5649723.777777777,au,2017
electro,urban contemporary,11,4438458.333333333,au,2017
tropical house,urban contemporary,11,4438458.333333333,au,2017
dance pop,soul,11,5002195.6,au,2017
indietronica,pop,11,3985943.5,au,2017
indie,rap,10,2750109.4444444445,au,2017
dance pop,other,10,3038008.5555555555,au,2017
moombahton,pop,10,5503600.0,au,2017
electro house,r&b,10,7671787.0,au,2017
r&b,urban contemporary,10,5038811.666666667,au,2017
dance,electropop,10,8215807.666666668,au,2017
electropop,trap,10,2738965.777777778,au,2017
electro house,house,10,2735511.0,au,2017
electropop,r&b,9,4554309.666666667,au,2017
other,pop rap,9,2987379.5555555555,au,2017
dance,electro,9,4861895.5,au,2017
indie pop rap,pop,9,1440473.111111111,au,2017
dancehall,pop,9,5419784.333333333,au,2017
dance,urban contemporary,9,3966428.7142857136,au,2017
pop rock,rap,9,4741627.285714285,au,2017
pop rap,pop rock,9,7100704.833333332,au,2017
funk,pop,9,8642826.42857143,au,2017
indie,pop rap,8,5060285.875,au,2017
indie,trap,8,2700877.25,au,2017
electropop,other,8,3961464.857142857,au,2017
indie pop,pop rap,8,3280596.1428571427,au,2017
indie pop,rap,8,1215429.875,au,2017
hip hop,indie pop,8,1058102.75,au,2017
pop,reggaeton,8,7076461.857142857,au,2017
pop,tropical,8,7274174.833333332,au,2017
electro house,urban contemporary,8,2528608.333333333,au,2017
indie rock,pop,8,2692173.0,au,2017
hip hop,pop rock,8,6552303.2,au,2017
dubstep,pop,8,6008765.4,au,2017
pop,rock,8,1335526.8,au,2017
hip hop,indie rock,8,570384.5,au,2017
electro,indie,7,1080517.5714285714,au,2017
indie pop rap,rap,7,1953478.2,au,2017
dance pop,moombahton,7,6377761.333333332,au,2017
dance pop,dancehall,7,4854378.5,au,2017
dance pop,latin,7,1678657.0,au,2017
house,urban contemporary,7,1180896.2,au,2017
r&b,r&b,7,5902135.0,au,2017
dance pop,indie,7,3254639.0,au,2017
electropop,indie,7,4209856.0,au,2017
indie rock,rap,7,667753.0,au,2017
indie rock,pop rap,7,776457.75,au,2017
indie pop rap,pop rap,6,2340968.75,au,2017
dancehall,tropical house,6,4494115.8,au,2017
pop,pop rock,6,3574566.666666666,au,2017
indie,other,6,3646222.833333334,au,2017
electro,soul,6,4578670.0,au,2017
country,pop,6,4778931.5,au,2017
dubstep,electro,6,326917.75,au,2017
indie,tropical house,6,3640656.833333334,au,2017
rock,trap,6,1552593.0,au,2017
electro house,other,5,3414926.0,au,2017
dance pop,reggaeton,5,2087663.6,au,2017
deep pop r&b,pop,5,5011604.0,au,2017
deep pop r&b,pop rap,5,1065833.333333333,au,2017
deep pop r&b,hip hop,5,1065833.333333333,au,2017
other,trap,5,2627491.6,au,2017
pop,techno,5,8604399.8,au,2017
soul,tropical house,5,4863471.2,au,2017
country pop,pop,5,6268793.666666668,au,2017
county rock,pop,5,6268793.666666668,au,2017
country,dance pop,5,6268793.666666668,au,2017
country pop,dance pop,5,6268793.666666668,au,2017
county rock,dance pop,5,6268793.666666668,au,2017
dance pop,indie rock,5,4487589.666666667,au,2017
electropop,indietronica,5,5490962.5,au,2017
dance,electro house,5,3280201.8,au,2017
hip hop,indietronica,5,1068044.8,au,2017
funk,tropical house,5,8598427.4,au,2017
dance pop,funk,5,10742721.25,au,2017
other,r&b,4,4198571.75,au,2017
dance pop,indie pop rap,4,799216.75,au,2017
electro house,indie pop,4,5638169.25,au,2017
electropop,moombahton,4,4553031.75,au,2017
dancehall,electro,4,4854378.5,au,2017
dance pop,tropical,4,1137033.5,au,2017
